"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"678",72594,2,1,3,3,1,3,1,NA,1,41389.190258,43543.537381,13,1,14,14,3.93,3,3,1,0,2,1,37,1,5,1
"679",72595,2,1,4,2,2,4,1,NA,2,26993.000301,27420.611476,9,1,13,3,0.43,5,4,1,1,2,1,34,2,5,1
"680",72596,2,1,5,4,2,5,1,NA,1,17902.448816,20723.772351,10,1,14,14,2.74,6,6,1,0,1,2,40,1,5,1
"681",72597,2,1,14,2,2,14,1,7,2,15057.004709,14923.160474,10,1,8,8,1.07,7,7,1,2,2,1,55,2,1,1
"682",72598,2,2,6,3,2,6,1,0,1,42045.917833,43013.430558,9,1,10,10,3.04,4,4,0,2,2,1,50,1,3,1
"683",72599,2,2,8,3,2,8,1,2,1,20338.100794,20806.097983,7,1,15,15,5,4,4,1,1,2,1,38,1,5,1
"684",72600,2,2,14,3,1,14,1,7,1,78734.998715,80549.229057,4,1,14,14,3.25,4,4,0,2,2,1,50,1,4,1
"685",72601,2,1,8,2,1,8,1,1,2,25431.339062,26326.828352,15,1,7,7,1.82,4,4,0,2,2,1,40,2,5,1
"686",72602,2,1,7,3,2,7,1,2,1,49073.519574,50757.771732,8,1,15,15,5,5,5,0,3,2,2,48,1,5,1
"687",72603,2,2,9,3,2,10,1,4,1,34354.520573,35145.047633,9,1,15,15,5,4,4,0,2,2,2,48,1,4,1
"688",72604,2,1,14,3,2,14,1,7,1,33854.53791,34685.742336,8,1,9,9,2.69,4,4,1,2,2,2,45,1,5,4
"689",72605,2,1,4,3,1,4,1,NA,1,59387.80535,59212.671189,5,1,2,2,0.36,4,4,1,2,2,2,27,1,2,4
"690",72606,2,2,10,3,1,10,1,4,1,25548.403076,27216.67654,15,1,15,15,5,3,3,1,1,2,2,36,1,5,4
"691",72607,2,1,15,3,2,15,1,8,1,36851.674629,37756.465447,6,1,14,14,3.47,4,4,0,3,2,1,47,1,4,3
"692",72608,2,2,5,2,2,5,1,NA,2,24720.876046,26901.034434,8,1,99,13,NA,4,2,1,0,2,2,34,2,3,77
"693",72609,2,1,3,3,1,3,1,NA,1,49472.31198,49920.875148,5,1,10,10,3.67,3,3,1,0,2,1,33,1,2,1
"694",72610,2,2,8,2,1,8,1,2,1,20616.946721,20732.292735,1,1,6,6,1,5,5,0,3,2,1,31,2,4,1
"695",72611,2,2,12,3,1,12,1,6,1,50369.991506,51596.556424,4,1,3,3,0.52,4,4,1,2,2,2,41,1,4,3
"696",72612,2,1,5,3,1,5,1,NA,1,59387.80535,60002.940872,4,1,2,1,0,5,1,3,1,2,2,27,1,4,5
"697",72613,2,1,4,3,2,4,1,NA,1,45708.481584,46423.888932,9,1,7,7,1.3,5,5,3,0,2,1,32,1,3,6
"698",72614,2,1,9,5,2,9,1,3,1,47620.447942,49730.499812,13,1,15,15,4.5,7,7,0,3,2,2,55,1,4,1
"699",72615,2,2,8,3,2,8,1,1,1,32345.820938,33409.688656,12,1,9,9,2.6,4,4,0,2,2,1,42,1,4,1
"700",72616,2,2,14,3,1,14,1,7,1,44874.53883,45361.870572,2,1,6,6,0.81,6,6,0,4,2,2,35,1,4,6
"701",72617,2,1,3,1,1,3,1,NA,2,23545.185694,24906.87173,14,1,5,5,1.52,2,2,1,0,2,2,35,2,3,5
"702",72618,2,2,15,2,2,15,1,8,1,28043.220836,27765.193473,6,1,4,4,0.65,5,5,0,4,2,2,34,2,2,3
"703",72619,2,2,7,5,2,7,1,1,1,45076.93129,46358.953326,6,1,15,15,5,4,4,0,1,2,1,48,2,5,1
"704",72620,2,1,8,1,1,8,1,2,2,20253.708771,20494.227664,1,1,13,13,NA,7,7,1,2,2,1,57,2,2,1
"705",72621,2,1,4,3,2,5,1,NA,1,22109.725593,22337.215875,7,1,15,15,5,4,4,1,1,2,1,38,1,5,1
"706",72622,2,1,10,3,1,10,1,4,1,43608.819267,45217.56161,13,1,4,4,0.62,5,5,1,2,2,1,29,1,3,6
"707",72623,2,2,6,5,1,6,1,0,1,32596.51365,33668.626757,14,1,15,15,5,4,4,0,2,2,2,40,1,5,1
"708",72624,2,2,4,4,2,4,1,NA,1,14899.186763,15827.570929,11,1,8,8,1.95,4,4,1,1,2,2,31,1,4,6
"709",72625,2,1,13,5,1,13,1,7,1,30590.606094,33602.542546,14,1,15,15,5,3,3,0,1,2,1,49,2,5,1
"710",72626,2,2,8,3,2,8,1,2,1,42045.917833,43241.735552,9,1,15,15,5,3,3,0,1,2,1,50,1,5,1
"711",72627,2,2,14,1,1,14,1,8,1,25247.359202,25376.972686,3,1,10,10,2.41,5,5,0,3,2,1,42,2,4,1
"712",72628,2,2,3,4,2,3,1,NA,1,15960.491734,20359.630486,10,1,10,10,2.36,6,6,2,3,2,2,30,2,5,3
"713",72629,2,2,12,4,2,12,1,7,1,13586.712811,14495.841802,11,1,2,2,0.42,3,3,0,2,2,2,38,1,2,5
"714",72630,2,1,13,4,2,13,1,7,1,16555.646491,16691.906627,10,1,5,5,0.87,4,4,1,2,2,2,30,1,3,3
"715",72631,2,2,14,3,2,14,1,8,1,38767.821367,39919.923422,9,1,15,15,5,3,3,0,1,2,1,58,1,5,1
"716",72632,2,1,10,3,2,10,1,3,1,49073.519574,50757.771732,8,1,15,15,5,5,5,0,3,2,1,46,1,4,1
"717",72633,2,2,5,2,1,5,1,NA,2,31204.717211,35173.649198,15,1,3,3,0.37,5,5,3,0,2,1,37,2,2,1
"718",72634,2,1,7,5,2,7,2,0,1,21158.909654,22001.265443,7,1,5,5,0.89,4,4,0,2,2,2,34,2,3,1
"719",72635,2,2,12,1,1,12,1,5,2,34763.569613,34942.036888,2,1,4,4,0.69,4,4,0,3,2,2,40,NA,NA,4
"720",72636,2,2,3,1,1,3,1,NA,2,18500.765574,20001.84618,1,1,13,13,NA,4,4,1,0,2,1,56,2,1,1
"721",72637,2,2,6,5,2,6,1,0,1,44519.207117,45543.632356,9,1,15,15,5,4,4,1,1,2,1,55,1,5,1
